DEPARTAMENTO,HPRES,MPRES,HPRIM,MPRIM,HSEC,MSEC,HMED,MMED,Hombres,Mujeres,year
ATLANTICO,63251,59972,206435,196432,145130,148456,52097,59977,22470,22933,2010
BOLIVAR,52976,50152,228844,205551,146603,146773,47114,53898,53083,80058,2010
ANTIOQUIA,116441,111864,594840,542475,382224,390115,127162,149285,68307,70714,2010
SANTAFE DE BOGOTA D.C,155600,150770,550663,527919,462068,456650,177475,194725,63479,57285,2010
BOYACA,26566,24927,127788,117551,95265,93684,34204,38999,39705,55846,2010
CALDAS,19781,18763,90471,81693,65299,64165,23199,27183,13411,14039,2010
CAQUETA,9268,8823,64383,57722,29759,30583,7281,8171,10161,12998,2010
CAUCA,23718,23410,165983,152640,93353,94010,26082,29520,20739,24708,2010
CESAR,32666,29807,131524,120774,75107,76082,22238,24975,25172,31622,2010
CORDOBA,43892,41048,216307,191243,134975,126282,40927,42982,38491,49428,2010
CUNDINAMARCA,57577,53549,251735,229755,195492,191873,66795,75456,35136,36517,2010
CHOCO,12580,11899,71881,63402,29665,28428,9409,10824,7609,10238,2010
HUILA,23352,22578,133353,123557,84794,87706,23072,28606,26990,27495,2010
LA GUAJIRA,24044,22641,108743,101254,42410,43468,11446,13790,8170,10082,2010
MAGDALENA,42127,39610,176542,158258,99621,99656,29840,32765,33660,40362,2010
META,20840,19512,99185,90013,64279,63421,19580,22355,16390,14100,2010
NARIﾃ前,33401,31251,182906,167279,96919,100933,30400,35879,27928,34145,2010
NORTE DE SANTANDER,31899,29787,149451,136448,90306,93471,28252,34652,11094,12047,2010
QUINDIO,8596,7837,52824,46858,40290,39054,13619,14711,11141,12545,2010
RISARALDA,17873,16995,88849,82544,64161,62937,20728,22177,19358,21864,2010
SANTANDER,45000,42469,194214,177686,142916,143605,47791,55651,29236,29628,2010
SUCRE,27273,25637,106182,92816,73240,70274,23755,26595,11959,13735,2010
TOLIMA,27276,26191,156243,140228,100576,101345,32285,36367,26691,29529,2010
VALLE DEL CAUCA,86071,81599,331106,309936,251996,255044,84784,99125,62926,74988,2010
ARAUCA,5668,5143,30068,27444,16925,17141,5046,5943,2732,3552,2010
CASANARE,8519,8435,45878,42441,30006,29947,8354,9497,5851,7840,2010
PUTUMAYO,6504,6080,44979,41304,23147,22882,5838,6826,5855,6789,2010
SAN ANDRES Y PROVIDENCIA,1530,1306,5597,5255,4479,4358,1715,1988,484,506,2010
AMAZONAS,2282,2170,10723,9891,5750,4875,2091,1487,1128,1402,2010
GUAINIA,1149,1154,6358,5680,2620,1896,421,376,1450,1593,2010
GUAVIARE,1959,1825,11948,10515,6183,6017,1547,1680,2538,3503,2010
VAUPES,423,423,5602,5321,2541,2038,845,449,632,800,2010
VICHADA,978,1018,12795,11570,4490,3652,1231,1097,248,321,2010
ATLANTICO,63798,60486,213592,202032,149757,152965,53998,61718,23074,23074,2011
BOLIVAR,53826,49838,230455,206633,146793,143990,48122,53902,42438,42438,2011
ANTIOQUIA,120049,114945,597853,541881,395171,396877,133160,159462,70997,70997,2011
SANTAFE DE BOGOTA D.C,155356,149658,550938,521370,473022,460497,182942,204226,62436,62436,2011
BOYACA,26800,25183,125804,114866,99107,95293,33292,38860,36895,36895,2011
CALDAS,19218,17845,88352,79968,66376,64190,22674,26668,12773,12773,2011
CAQUETA,9551,8988,66775,59077,31907,32327,7144,8140,11762,11762,2011
CAUCA,23527,22571,162617,148651,99565,99073,27742,32692,13506,13506,2011
CESAR,32642,29752,139524,126291,78321,78840,21454,23926,22789,22789,2011
CORDOBA,45252,42628,218251,192620,135452,126285,41572,44938,29740,29740,2011
CUNDINAMARCA,57868,54834,247775,225087,198695,193106,65208,75694,36468,36468,2011
CHOCO,11776,11287,76200,66487,31562,29025,8968,10694,7230,7230,2011
HUILA,23921,23263,130735,120522,86831,88540,22982,28570,26142,26142,2011
LA GUAJIRA,23824,22495,117288,107474,44699,45310,10402,13278,7963,7963,2011
MAGDALENA,43460,39418,180046,160847,99666,98275,30074,33412,24952,24952,2011
META,21488,20339,102850,93694,67831,67069,18852,22046,18453,18453,2011
NARIﾃ前,30499,28696,194105,176482,103903,106689,30920,36420,21498,21498,2011
NORTE DE SANTANDER,31750,29907,152979,137951,91251,93784,27482,33588,8348,8348,2011
QUINDIO,8987,8474,50127,44567,41373,38677,13130,14638,10316,10316,2011
RISARALDA,18115,17653,90422,83228,63754,61777,19860,22038,21829,21829,2011
SANTANDER,45318,42841,196018,178906,144699,144367,46580,56476,26855,26855,2011
SUCRE,27674,25780,113448,99671,75965,71634,23754,26212,12853,12853,2011
TOLIMA,27756,26287,153894,138764,103983,102342,32120,37016,26162,26162,2011
VALLE DEL CAUCA,87317,83207,340217,315996,256286,255483,92842,110924,69641,69641,2011
ARAUCA,5902,5717,31118,27930,17026,16912,4758,5760,3435,3435,2011
CASANARE,9067,8697,46284,42370,31741,31199,8928,9876,6780,6780,2011
PUTUMAYO,6448,6510,43043,39578,24334,24039,6176,7108,6643,6643,2011
SAN ANDRES Y PROVIDENCIA,1497,1460,5516,4823,4006,4088,1490,1752,765,765,2011
AMAZONAS,2241,2188,11570,10461,6145,5113,1948,1488,1081,1081,2011
GUAINIA,1179,1170,6493,5844,2822,2005,414,370,1679,1679,2011
GUAVIARE,1710,1645,12204,10679,6247,5843,1634,1702,3159,3159,2011
VAUPES,370,353,5749,5612,2693,2058,864,426,303,303,2011
VICHADA,1108,977,12534,11307,4725,3730,1096,1050,375,375,2011
ATLANTICO,62567,59886,206851,196409,148733,151511,52341,59675,21779,19205,2012
BOLIVAR,57678,53680,230198,204363,146247,143370,45799,51717,32070,39515,2012
ANTIOQUIA,121686,116796,582762,529007,389249,394713,124293,148517,69486,67466,2012
SANTAFE DE BOGOTA D.C,161266,157636,543607,514017,463958,460027,169496,189624,63685,52639,2012
BOYACA,29062,28100,120445,107599,96669,93101,32563,38913,16641,14832,2012
CALDAS,19518,18850,85181,76480,64341,62392,22715,26023,14132,13146,2012
CAQUETA,9155,8900,63443,56146,32879,33181,7586,8549,8990,10014,2012
CAUCA,26623,25372,159029,145545,96041,95015,28746,33529,11760,12380,2012
CESAR,36303,34165,135768,122200,80876,81110,22981,26302,11032,10774,2012
CORDOBA,49208,45760,214884,189735,136208,128147,42691,44478,21072,21589,2012
CUNDINAMARCA,61848,59735,244747,222157,198146,193777,64364,74663,43895,40198,2012
CHOCO,12013,11609,75928,69409,31389,29050,8822,10263,10773,16331,2012
HUILA,25021,23906,128564,118454,85151,87651,23192,28859,24692,22710,2012
LA GUAJIRA,27892,26466,119074,109980,46641,46603,11653,14419,8764,9416,2012
MAGDALENA,42919,40138,173241,155340,99757,99304,29852,33362,22438,26240,2012
META,23988,23694,104575,94452,68673,67905,19633,23274,18221,12199,2012
NARIﾃ前,28294,27293,182651,166637,102285,103914,30852,36718,19733,23620,2012
NORTE DE SANTANDER,36128,34247,148293,133527,90905,94061,27843,34467,9361,8840,2012
QUINDIO,9120,8972,46913,42262,39300,37654,13061,14716,11052,11462,2012
RISARALDA,19319,18705,84891,77738,62868,61528,20121,22260,19025,19764,2012
SANTANDER,51331,49936,193547,177668,142227,142366,46851,56787,28163,25141,2012
SUCRE,29157,27104,111418,98330,74396,71445,24457,26864,9476,9057,2012
TOLIMA,29588,28402,149790,134320,102452,101480,30830,36526,17893,14836,2012
VALLE DEL CAUCA,81550,78417,332881,307801,247417,247934,83299,97791,71858,77725,2012
ARAUCA,6985,6473,31825,28623,16685,16926,4746,5499,3404,4134,2012
CASANARE,9994,9545,45400,41946,31948,31587,8924,10220,7004,8520,2012
PUTUMAYO,7502,7284,42278,38334,25463,25121,6849,7830,6807,8022,2012
SAN ANDRES Y PROVIDENCIA,1421,1420,5260,4729,4118,3858,1535,1726,702,581,2012
AMAZONAS,2897,2826,11026,10215,6665,5612,1975,1602,1062,1170,2012
GUAINIA,1144,1074,6196,5763,2886,2076,474,409,803,656,2012
GUAVIARE,2034,1955,11092,9455,6511,5837,1686,1827,2460,2730,2012
VAUPES,441,437,5845,5617,2652,2141,851,464,356,451,2012
VICHADA,1575,1486,11125,9855,4601,3768,1153,1067,485,494,2012
ATLANTICO,62567,59886,206851,196409,148733,151511,52341,59675,21779,19205,2013
BOLIVAR,57678,53680,230198,204363,146247,143370,45799,51717,32070,39515,2013
ANTIOQUIA,121686,116796,582762,529007,389249,394713,124293,148517,69486,67466,2013
SANTAFE DE BOGOTA D.C,161266,157636,543607,514017,463958,460027,169496,189624,63685,52639,2013
BOYACA,29062,28100,120445,107599,96669,93101,32563,38913,16641,14832,2013
CALDAS,19518,18850,85181,76480,64341,62392,22715,26023,14132,13146,2013
CAQUETA,9155,8900,63443,56146,32879,33181,7586,8549,8990,10014,2013
CAUCA,26623,25372,159029,145545,96041,95015,28746,33529,11760,12380,2013
CESAR,36303,34165,135768,122200,80876,81110,22981,26302,11032,10774,2013
CORDOBA,49208,45760,214884,189735,136208,128147,42691,44478,21072,21589,2013
CUNDINAMARCA,61848,59735,244747,222157,198146,193777,64364,74663,43895,40198,2013
CHOCO,12013,11609,75928,69409,31389,29050,8822,10263,10773,16331,2013
HUILA,25021,23906,128564,118454,85151,87651,23192,28859,24692,22710,2013
LA GUAJIRA,27892,26466,119074,109980,46641,46603,11653,14419,8764,9416,2013
MAGDALENA,42919,40138,173241,155340,99757,99304,29852,33362,22438,26240,2013
META,23988,23694,104575,94452,68673,67905,19633,23274,18221,12199,2013
NARIﾃ前,28294,27293,182651,166637,102285,103914,30852,36718,19733,23620,2013
NORTE DE SANTANDER,36128,34247,148293,133527,90905,94061,27843,34467,9361,8840,2013
QUINDIO,9120,8972,46913,42262,39300,37654,13061,14716,11052,11462,2013
RISARALDA,19319,18705,84891,77738,62868,61528,20121,22260,19025,19764,2013
SANTANDER,51331,49936,193547,177668,142227,142366,46851,56787,28163,25141,2013
SUCRE,29157,27104,111418,98330,74396,71445,24457,26864,9476,9057,2013
TOLIMA,29588,28402,149790,134320,102452,101480,30830,36526,17893,14836,2013
VALLE DEL CAUCA,81550,78417,332881,307801,247417,247934,83299,97791,71858,77725,2013
ARAUCA,6985,6473,31825,28623,16685,16926,4746,5499,3404,4134,2013
CASANARE,9994,9545,45400,41946,31948,31587,8924,10220,7004,8520,2013
PUTUMAYO,7502,7284,42278,38334,25463,25121,6849,7830,6807,8022,2013
SAN ANDRES Y PROVIDENCIA,1421,1420,5260,4729,4118,3858,1535,1726,702,581,2013
AMAZONAS,2897,2826,11026,10215,6665,5612,1975,1602,1062,1170,2013
GUAINIA,1144,1074,6196,5763,2886,2076,474,409,803,656,2013
GUAVIARE,2034,1955,11092,9455,6511,5837,1686,1827,2460,2730,2013
VAUPES,441,437,5845,5617,2652,2141,851,464,356,451,2013
VICHADA,1575,1486,11125,9855,4601,3768,1153,1067,485,494,2013
