,id,zipcode,departamento,lat,lon,electricidad,television,telefono,radio,internet,equipo,total,year
0,5,50001,ANTIOQUIA,6.2518401,-75.563591,0.980388661080406,0.707969334997326,0.566767694776252,0.139062221429845,0.608842931003744,0.905865573185951,5609,2014
1,8,80001,ATLANTICO,10.9685402,-74.7813187,0.990712074303405,0.812177502579979,0.736842105263158,0.245614035087719,0.915376676986584,0.953560371517028,969,2014
2,11,110001,SANTAFE DE BOGOTA D.C,4.6097102,-74.081749,0.986530612244898,0.879183673469388,0.966938775510204,0.318775510204082,0.975918367346939,0.994285714285714,2450,2014
3,13,130001,BOLIVAR,10.3997202,-75.5144424,0.91996699669967,0.578382838283828,0.41006600660066,0.136963696369637,0.53960396039604,0.906765676567657,1212,2014
4,15,150001,BOYACA,5.5352802,-73.3677826,0.967063492063492,0.616666666666667,0.163888888888889,0.090476190476191,0.218650793650794,0.922619047619048,2520,2014
5,17,170001,CALDAS,5.0688901,-75.5173798,0.99095704596835,0.574981160512434,0.262999246420497,0.099472494348154,0.307460437076111,0.933685003767898,1327,2014
6,18,180001,CAQUETA,1.61438,-75.6062317,0.761013215859031,0.259911894273128,0.048458149779736,0.050660792951542,0.058370044052864,0.870044052863436,908,2014
7,19,190001,CAUCA,2.43823,-76.6131592,0.931643625192012,0.550307219662058,0.107910906298003,0.070660522273426,0.24347158218126,0.907450076804916,2604,2014
8,20,200001,CESAR,10.4631395,-73.2532196,0.799264705882353,0.395588235294118,0.205882352941176,0.063235294117647,0.286764705882353,0.829411764705882,1360,2014
9,23,230001,CORDOBA,8.7479801,-75.8814316,0.95830985915493,0.430422535211268,0.178591549295775,0.067605633802817,0.356056338028169,0.889014084507042,1775,2014
10,25,250001,CUNDINAMARCA,4.3007898,-74.8075409,0.988195615514334,0.655986509274874,0.267003934794829,0.155986509274874,0.310848791455874,0.958965711073637,3558,2014
11,27,270001,CHOCO,5.6918802,-76.6583481,0.373094170403587,0.102242152466368,0.041255605381166,0.022421524663677,0.069955156950673,0.549775784753363,1115,2014
12,41,410001,HUILA,2.9273,-752.818909,0.993353783231084,0.655930470347648,0.214212678936605,0.114519427402863,0.244376278118609,0.967791411042945,1956,2014
13,44,440001,LA GUAJIRA,11.533,-72.9,0.495555555555556,0.246666666666667,0.16,0.057777777777778,0.204444444444444,0.494444444444444,900,2014
14,47,470001,MAGDALENA,11.2407904,-74.1990433,0.851851851851852,0.502153316106804,0.210163652024117,0.084409991386736,0.373815676141258,0.810508182601206,1161,2014
15,50,500001,META,4.1420002,-73.6266403,0.91417004048583,0.618623481781377,0.334412955465587,0.108502024291498,0.366801619433198,0.892307692307692,1235,2014
16,52,520001,NARIÑO,1.2136101,-77.2811127,0.891255097417309,0.565926597190757,0.113729043951065,0.089261440869959,0.249207068418668,0.923425464431355,2207,2014
17,54,540001,NORTE DE SANTANDER,7.8939099,-72.5078201,0.962946625496251,0.418614909572122,0.21393912659903,0.067931186590207,0.250551389501544,0.92059991177768,2267,2014
18,63,630001,QUINDIO,4.5338898,75.6811066,1,0.723350253807107,0.401015228426396,0.139593908629442,0.629441624365482,0.954314720812183,394,2014
19,66,660001,RISARALDA,4.8133302,-75.6961136,0.976987447698745,0.74163179916318,0.391213389121339,0.163179916317992,0.48326359832636,0.930962343096234,956,2014
20,68,680001,SANTANDER,7.1253901,-73.1197968,0.991413676786262,0.561484207298375,0.279362158846979,0.101502606562404,0.263722784421956,0.926096289481754,3261,2014
21,70,700001,SUCRE,9.3047199,-75.3977814,0.969148936170213,0.456382978723404,0.204255319148936,0.098936170212766,0.463829787234043,0.895744680851064,940,2014
22,73,730001,TOLIMA,4.43889,-75.2322235,0.986198243412798,0.637808448347972,0.193224592220828,0.194479297365119,0.325805102467587,0.947302383939774,2391,2014
23,76,760001,VALLE DEL CAUCA,3.4372201,-76.5224991,0.978290002680247,0.654248190833557,0.531224872688287,0.19002948271241,0.565800053604932,0.924953095684803,3731,2014
24,81,810001,ARAUCA,7.0847101,-70.759079,0.897959183673469,0.636734693877551,0.153061224489796,0.095918367346939,0.281632653061224,0.908163265306122,490,2014
25,85,850001,CASANARE,5.33775,-72.3958588,0.846153846153846,0.324960753532182,0.152276295133438,0.039246467817896,0.23861852433281,0.85243328100471,637,2014
26,86,860001,PUTUMAYO,1.15284,-76.6520767,0.753684210526316,0.338947368421053,0.070526315789474,0.022105263157895,0.093684210526316,0.838947368421053,950,2014
27,91,910001,AMAZONAS,-4.2152801,-69.9405594,0.863157894736842,0.557894736842105,0.178947368421053,0.052631578947369,0.168421052631579,0.757894736842105,95,2014
28,94,940001,GUAINIA,3.8652799,-67.9238892,0.648351648351648,0.252747252747253,0.043956043956044,0.021978021978022,0.054945054945055,0.659340659340659,91,2014
29,95,950001,GUAVIARE,2.57286,-72.6459122,0.758793969849246,0.341708542713568,0.035175879396985,0.035175879396985,0.045226130653266,0.698492462311558,199,2014
30,97,970001,VAUPES,1.25778,-70.2347183,0.40952380952381,0.161904761904762,0.028571428571429,0.028571428571429,0.066666666666667,0.542857142857143,105,2014
31,99,990001,VICHADA,6.1890302,-67.485878,0.601063829787234,0.234042553191489,0.021276595744681,0.010638297872341,0.042553191489362,0.691489361702128,188,2014
32,88,880001,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,12.5847197,-81.7005615,1,0.852941176470588,0.911764705882353,0.117647058823529,0.852941176470588,0.882352941176471,34,2014
0,5,50001,ANTIOQUIA,6.2518401,-75.563591,0.973020944266951,0.70305289314874,0.570820021299255,0.156549520766773,0.682818601348953,0.947284345047923,5634,2015
1,8,80001,ATLANTICO,10.9685402,-74.7813187,0.986818980667838,0.807557117750439,0.748681898066784,0.275922671353251,0.951669595782074,0.988576449912127,1138,2015
2,11,110001,SANTAFE DE BOGOTA D.C,4.6097102,-74.081749,0.983870967741935,0.867741935483871,0.958870967741935,0.328225806451613,0.978225806451613,0.993951612903226,2480,2015
3,13,130001,BOLIVAR,10.3997202,-75.5144424,0.910408432147563,0.535573122529644,0.326745718050066,0.110013175230567,0.592885375494071,0.932147562582345,1518,2015
4,15,150001,BOYACA,5.5352802,-73.3677826,0.976143918654673,0.676965193586234,0.180680484943293,0.132577238951897,0.306609307782558,0.968713335940555,2557,2015
5,17,170001,CALDAS,5.0688901,-75.5173798,0.991851851851852,0.582962962962963,0.282962962962963,0.066666666666667,0.422962962962963,0.972592592592592,1350,2015
6,18,180001,CAQUETA,1.61438,-75.6062317,0.689989235737352,0.263724434876211,0.064585575888052,0.068891280947255,0.114101184068891,0.874058127018299,929,2015
7,19,190001,CAUCA,2.43823,-76.6131592,0.910541945063103,0.601707498144024,0.172234595397179,0.091685226429102,0.44097995545657,0.953229398663697,2694,2015
8,20,200001,CESAR,10.4631395,-73.2532196,0.800844475721323,0.432090077410274,0.221674876847291,0.07670654468684,0.420126671358198,0.864180154820549,1421,2015
9,23,230001,CORDOBA,8.7479801,-75.8814316,0.937869822485207,0.474358974358974,0.216962524654832,0.086785009861933,0.437376725838264,0.924556213017751,2028,2015
10,25,250001,CUNDINAMARCA,4.3007898,-74.8075409,0.98564725365719,0.688931824454872,0.267457907811206,0.154844051890698,0.442727021805134,0.955837703560585,3623,2015
11,27,270001,CHOCO,5.6918802,-76.6583481,0.448188711036226,0.114574557708509,0.048862679022747,0.021903959561921,0.122156697556866,0.694187026116259,1187,2015
12,41,410001,HUILA,2.9273,-752.818909,0.989852866565195,0.721968543886352,0.212075088787418,0.132420091324201,0.362252663622527,0.986301369863014,1971,2015
13,44,440001,LA GUAJIRA,11.533,-72.9,0.538302277432712,0.295031055900621,0.165631469979296,0.067287784679089,0.319875776397516,0.575569358178054,966,2015
14,47,470001,MAGDALENA,11.2407904,-74.1990433,0.845375722543353,0.545520231213873,0.222543352601156,0.084537572254335,0.433526011560694,0.861271676300578,1384,2015
15,50,500001,META,4.1420002,-73.6266403,0.856012658227848,0.568829113924051,0.32753164556962,0.130537974683544,0.488132911392405,0.876582278481013,1264,2015
16,52,520001,NARIÑO,1.2136101,-77.2811127,0.838674033149171,0.530755064456722,0.115653775322284,0.100184162062615,0.358379373848987,0.896500920810313,2715,2015
17,54,540001,NORTE DE SANTANDER,7.8939099,-72.5078201,0.952640402347024,0.422045264040235,0.217937971500419,0.093461860854988,0.318524727577536,0.94593461860855,2386,2015
18,63,630001,QUINDIO,4.5338898,75.6811066,0.989821882951654,0.73027989821883,0.39440203562341,0.152671755725191,0.783715012722646,1,393,2015
19,66,660001,RISARALDA,4.8133302,-75.6961136,0.970674486803519,0.720430107526882,0.378299120234604,0.239491691104594,0.539589442815249,0.947214076246334,1023,2015
20,68,680001,SANTANDER,7.1253901,-73.1197968,0.977791299056891,0.511104350471555,0.26528749619714,0.101003954974141,0.397627015515668,0.962884088834804,3287,2015
21,70,700001,SUCRE,9.3047199,-75.3977814,0.957884427032321,0.560235063663075,0.301665034280118,0.069539666993144,0.600391772771792,0.94613124387855,1021,2015
22,73,730001,TOLIMA,4.43889,-75.2322235,0.974091099038863,0.64563309653155,0.210614291684079,0.097367321353949,0.402005850396991,0.961554534057668,2393,2015
23,76,760001,VALLE DEL CAUCA,3.4372201,-76.5224991,0.977284595300261,0.667885117493473,0.536031331592689,0.223759791122715,0.695300261096606,0.95822454308094,3830,2015
24,81,810001,ARAUCA,7.0847101,-70.759079,0.927710843373494,0.640562248995984,0.160642570281125,0.098393574297189,0.399598393574297,0.901606425702811,498,2015
25,85,850001,CASANARE,5.33775,-72.3958588,0.826347305389221,0.330838323353293,0.152694610778443,0.055389221556886,0.389221556886228,0.862275449101796,668,2015
26,86,860001,PUTUMAYO,1.15284,-76.6520767,0.754081632653061,0.338775510204082,0.064285714285714,0.075510204081633,0.226530612244898,0.890816326530612,980,2015
27,91,910001,AMAZONAS,-4.2152801,-69.9405594,0.934579439252336,0.598130841121495,0.149532710280374,0.037383177570094,0.168224299065421,0.841121495327103,107,2015
28,94,940001,GUAINIA,3.8652799,-67.9238892,0.604395604395604,0.186813186813187,0.065934065934066,0.043956043956044,0.10989010989011,0.703296703296703,91,2015
29,95,950001,GUAVIARE,2.57286,-72.6459122,0.826271186440678,0.322033898305085,0.063559322033898,0.008474576271186,0.139830508474576,0.741525423728814,236,2015
30,97,970001,VAUPES,1.25778,-70.2347183,0.384615384615385,0.196581196581197,0.017094017094017,0.017094017094017,0.170940170940171,0.435897435897436,117,2015
31,99,990001,VICHADA,6.1890302,-67.485878,0.523316062176166,0.243523316062176,0.062176165803109,0.015544041450777,0.160621761658031,0.673575129533679,193,2015
32,88,880001,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,12.5847197,-81.7005615,0.971428571428571,0.714285714285714,0.8,0.171428571428571,0.885714285714286,0.971428571428571,35,2015
